path,metal_status,reason,cuda_markers
KernelBench/level1/1_Square_matrix_multiplication_.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level1/23_Softmax.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level1/26_GELU_.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level1/2_Standard_matrix_multiplication_.py,Impossible,Uses FP8/INT4/NVFP4-oriented path that is not supported on current MetalBench stack,
KernelBench/level1/36_RMSNorm_.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level1/3_Batched_matrix_multiplication.py,Impossible,Uses FP8/INT4/NVFP4-oriented path that is not supported on current MetalBench stack,
KernelBench/level1/40_LayerNorm.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level1/42_Max_Pooling_2D.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level1/47_Sum_reduction_over_a_dimension.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level1/4_Matrix_vector_multiplication_.py,Impossible,Uses FP8/INT4/NVFP4-oriented path that is not supported on current MetalBench stack,
KernelBench/level1/63_conv_standard_2D__square_input__square_kernel.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level1/82_conv_depthwise_2D_square_input_square_kernel.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level1/8_Matmul_with_irregular_shapes_.py,Impossible,Uses FP8/INT4/NVFP4-oriented path that is not supported on current MetalBench stack,
KernelBench/level1/95_CrossEntropyLoss.py,Needs adaptation,"Explicit hardware restriction ['RTX3090', 'H100', 'B200'] excludes M4MAX",
KernelBench/level1/9_Tall_skinny_matrix_multiplication_.py,Impossible,Uses FP8/INT4/NVFP4-oriented path that is not supported on current MetalBench stack,
