path,category,cuda_lowlevel_features,cuda_runtime_markers,notes
KernelBench/cutile/persistent_gemm.py,Needs adaptation,,torch\.cuda;cuda\.tile;@ct\.kernel,CUDA runtime/device assumptions present
KernelBench/cutile/stream_k_gemm.py,Needs adaptation,,cuda\.tile;@ct\.kernel,CUDA runtime/device assumptions present
KernelBench/cutile/warp_specialized_gemm.py,Needs adaptation,,cuda\.tile;@ct\.kernel,CUDA runtime/device assumptions present
KernelBench/graphics/bloom.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/graphics/particles.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/1_Square_matrix_multiplication_.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/23_Softmax.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/26_GELU_.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/2_Standard_matrix_multiplication_.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/36_RMSNorm_.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/3_Batched_matrix_multiplication.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/40_LayerNorm.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/42_Max_Pooling_2D.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/47_Sum_reduction_over_a_dimension.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/4_Matrix_vector_multiplication_.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/63_conv_standard_2D__square_input__square_kernel.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/82_conv_depthwise_2D_square_input_square_kernel.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/8_Matmul_with_irregular_shapes_.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/95_CrossEntropyLoss.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level1/9_Tall_skinny_matrix_multiplication_.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/17_Conv2d_InstanceNorm_Divide.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/37_Matmul_Swish_Sum_GroupNorm.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/40_Matmul_Scaling_ResidualAdd.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/46_Conv2d_Subtract_Tanh_Subtract_AvgPool.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/52_Conv2d_Activation_BatchNorm.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/55_Matmul_MaxPool_Sum_Scale.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/59_Matmul_Swish_Scaling.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/66_Matmul_Dropout_Mean_Softmax.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/6_Conv3d_Softmax_MaxPool_MaxPool.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/73_Conv2d_BatchNorm_Scaling.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/82_Conv2d_Tanh_Scaling_BiasAdd_Max.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/85_Conv2d_GroupNorm_Scale_MaxPool_Clamp.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/86_Matmul_Divide_GELU.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/98_Matmul_AvgPool_GELU_Scale_Max.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level2/99_Matmul_GELU_Softmax.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level3/31_VisionAttention.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level3/43_MinGPTCausalAttention.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level3/44_MiniGPTBlock.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level4/1_DeepSeek_MLA.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level4/2_DeepSeek_MoE.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level4/3_GroupedQueryAttention.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level4/4_FP8_Matmul.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level4/5_MoE_GatedGEMM.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level4/6_INT4_Quantized_GEMM.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level4/7_GatedDeltaNet.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/level4/8_KimiDeltaAttention.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/gemm_bf16.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/gemm_bias_gelu.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/gemm_bias_relu.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/gemm_bias_silu.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/gemm_fp4.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/gemm_fp8.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/gemm_mixed_fp8_fp16.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/gemm_residual_add.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/gemv_bf16.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/gemv_fp16.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/gemv_fp4.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/gemv_fp8.py,Portable,,,No CUDA-specific primitive/runtime markers detected
KernelBench/tile_specialized/moe_grouped_gemm.py,Portable,,,No CUDA-specific primitive/runtime markers detected
