path,problem_type,fp4,fp8,fp16,bf16,fp32,notes
KernelBench/cutile/persistent_gemm.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/cutile/stream_k_gemm.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/cutile/warp_specialized_gemm.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/graphics/bloom.py,elementwise,false,false,true,true,true,Elementwise transforms usually use FP16/BF16/FP32 in practice.
KernelBench/graphics/particles.py,graphics,false,false,true,false,true,Graphics post-processing commonly FP16/FP32; BF16/FP8 paths uncommon.
KernelBench/level1/1_Square_matrix_multiplication_.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level1/23_Softmax.py,softmax,false,false,true,true,true,Accumulation-sensitive operations typically require >= FP16/BF16.
KernelBench/level1/26_GELU_.py,elementwise,false,false,true,true,true,Elementwise transforms usually use FP16/BF16/FP32 in practice.
KernelBench/level1/2_Standard_matrix_multiplication_.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level1/36_RMSNorm_.py,layernorm,false,false,true,true,true,Accumulation-sensitive operations typically require >= FP16/BF16.
KernelBench/level1/3_Batched_matrix_multiplication.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level1/40_LayerNorm.py,layernorm,false,false,true,true,true,Accumulation-sensitive operations typically require >= FP16/BF16.
KernelBench/level1/42_Max_Pooling_2D.py,reduction,false,false,true,true,true,Accumulation-sensitive operations typically require >= FP16/BF16.
KernelBench/level1/47_Sum_reduction_over_a_dimension.py,reduction,false,false,true,true,true,Accumulation-sensitive operations typically require >= FP16/BF16.
KernelBench/level1/4_Matrix_vector_multiplication_.py,gemv,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level1/63_conv_standard_2D__square_input__square_kernel.py,conv2d,false,true,true,true,true,Convolution generally supports FP8+ on modern tensor-core hardware.
KernelBench/level1/82_conv_depthwise_2D_square_input_square_kernel.py,conv2d,false,true,true,true,true,Convolution generally supports FP8+ on modern tensor-core hardware.
KernelBench/level1/8_Matmul_with_irregular_shapes_.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level1/95_CrossEntropyLoss.py,reduction,false,false,true,true,true,Accumulation-sensitive operations typically require >= FP16/BF16.
KernelBench/level1/9_Tall_skinny_matrix_multiplication_.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level2/17_Conv2d_InstanceNorm_Divide.py,layernorm,false,false,true,true,true,Accumulation-sensitive operations typically require >= FP16/BF16.
KernelBench/level2/37_Matmul_Swish_Sum_GroupNorm.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level2/40_Matmul_Scaling_ResidualAdd.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level2/46_Conv2d_Subtract_Tanh_Subtract_AvgPool.py,conv2d,false,true,true,true,true,Convolution generally supports FP8+ on modern tensor-core hardware.
KernelBench/level2/52_Conv2d_Activation_BatchNorm.py,conv2d,false,true,true,true,true,Convolution generally supports FP8+ on modern tensor-core hardware.
KernelBench/level2/55_Matmul_MaxPool_Sum_Scale.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level2/59_Matmul_Swish_Scaling.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level2/66_Matmul_Dropout_Mean_Softmax.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level2/6_Conv3d_Softmax_MaxPool_MaxPool.py,softmax,false,false,true,true,true,Accumulation-sensitive operations typically require >= FP16/BF16.
KernelBench/level2/73_Conv2d_BatchNorm_Scaling.py,conv2d,false,true,true,true,true,Convolution generally supports FP8+ on modern tensor-core hardware.
KernelBench/level2/82_Conv2d_Tanh_Scaling_BiasAdd_Max.py,conv2d,false,true,true,true,true,Convolution generally supports FP8+ on modern tensor-core hardware.
KernelBench/level2/85_Conv2d_GroupNorm_Scale_MaxPool_Clamp.py,layernorm,false,false,true,true,true,Accumulation-sensitive operations typically require >= FP16/BF16.
KernelBench/level2/86_Matmul_Divide_GELU.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level2/98_Matmul_AvgPool_GELU_Scale_Max.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level2/99_Matmul_GELU_Softmax.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level3/31_VisionAttention.py,attention,false,true,true,true,true,FP8 viable with scaling; FP4 generally too unstable for full attention path.
KernelBench/level3/43_MinGPTCausalAttention.py,attention,false,true,true,true,true,FP8 viable with scaling; FP4 generally too unstable for full attention path.
KernelBench/level3/44_MiniGPTBlock.py,attention,false,true,true,true,true,FP8 viable with scaling; FP4 generally too unstable for full attention path.
KernelBench/level4/1_DeepSeek_MLA.py,attention,false,true,true,true,true,FP8 viable with scaling; FP4 generally too unstable for full attention path.
KernelBench/level4/2_DeepSeek_MoE.py,gemm,true,true,true,true,true,Matrix ops support broad precision ranges; lower precision needs scaling/accum care.
KernelBench/level4/3_GroupedQueryAttention.py,attention,false,true,true,true,true,FP8 viable with scaling; FP4 generally too unstable for full attention path.
