path,has_op_type,has_precisions,has_hardware,has_sync,has_verifier,op_type,supported_precisions,hardware_required
KernelBench/cutile/persistent_gemm.py,true,true,true,false,false,gemm,fp16;bf16,B200
KernelBench/cutile/stream_k_gemm.py,true,true,true,false,false,gemm,fp16;bf16,B200
KernelBench/cutile/warp_specialized_gemm.py,true,true,true,false,false,gemm,fp16;bf16,B200
KernelBench/graphics/bloom.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/graphics/particles.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/1_Square_matrix_multiplication_.py,true,true,true,false,false,gemm,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/23_Softmax.py,true,true,true,false,false,softmax,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/26_GELU_.py,true,true,true,false,false,elementwise,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/2_Standard_matrix_multiplication_.py,true,true,true,false,false,gemm,fp4;fp8;fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/36_RMSNorm_.py,true,true,true,false,false,layernorm,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/3_Batched_matrix_multiplication.py,true,true,true,false,false,gemm,fp4;fp8;fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/40_LayerNorm.py,true,true,true,false,false,layernorm,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/42_Max_Pooling_2D.py,true,true,true,false,false,reduction,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/47_Sum_reduction_over_a_dimension.py,true,true,true,false,false,reduction,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/4_Matrix_vector_multiplication_.py,true,true,true,false,false,gemm,fp4;fp8;fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/63_conv_standard_2D__square_input__square_kernel.py,true,true,true,false,false,conv,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/82_conv_depthwise_2D_square_input_square_kernel.py,true,true,true,false,false,conv,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/8_Matmul_with_irregular_shapes_.py,true,true,true,false,false,gemm,fp4;fp8;fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/95_CrossEntropyLoss.py,true,true,true,false,false,reduction,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level1/9_Tall_skinny_matrix_multiplication_.py,true,true,true,false,false,gemm,fp4;fp8;fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/17_Conv2d_InstanceNorm_Divide.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/37_Matmul_Swish_Sum_GroupNorm.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/40_Matmul_Scaling_ResidualAdd.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/46_Conv2d_Subtract_Tanh_Subtract_AvgPool.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/52_Conv2d_Activation_BatchNorm.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/55_Matmul_MaxPool_Sum_Scale.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/59_Matmul_Swish_Scaling.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/66_Matmul_Dropout_Mean_Softmax.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/6_Conv3d_Softmax_MaxPool_MaxPool.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/73_Conv2d_BatchNorm_Scaling.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/82_Conv2d_Tanh_Scaling_BiasAdd_Max.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/85_Conv2d_GroupNorm_Scale_MaxPool_Clamp.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/86_Matmul_Divide_GELU.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/98_Matmul_AvgPool_GELU_Scale_Max.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level2/99_Matmul_GELU_Softmax.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level3/31_VisionAttention.py,true,true,true,false,false,attention,fp8;fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level3/43_MinGPTCausalAttention.py,true,true,true,false,false,attention,fp8;fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level3/44_MiniGPTBlock.py,true,true,true,false,false,model,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level4/1_DeepSeek_MLA.py,true,true,true,false,false,attention,fp8;fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level4/2_DeepSeek_MoE.py,true,true,true,false,false,model,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level4/3_GroupedQueryAttention.py,true,true,true,false,false,attention,fp8;fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level4/4_FP8_Matmul.py,true,true,true,false,false,gemm,fp4;fp8;fp16;bf16;fp32,H100;B200
KernelBench/level4/5_MoE_GatedGEMM.py,true,true,true,false,false,fused,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level4/6_INT4_Quantized_GEMM.py,true,true,true,false,false,gemm,fp4;fp8;fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level4/7_GatedDeltaNet.py,true,true,true,false,false,model,fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/level4/8_KimiDeltaAttention.py,true,true,true,false,false,attention,fp8;fp16;bf16;fp32,RTX3090;H100;B200
KernelBench/tile_specialized/gemm_bf16.py,true,true,true,false,false,gemm,bf16,RTX3090;A100;H100;B200
KernelBench/tile_specialized/gemm_bias_gelu.py,true,true,true,false,false,gemm_epilogue,fp16;bf16,H100;B200
KernelBench/tile_specialized/gemm_bias_relu.py,true,true,true,false,false,gemm_epilogue,fp16;bf16,H100;B200
